Steel Detailing Business — Year 1 Financial Model,,,,,
,,,,,
SCENARIO A — SOLO FREELANCER (home office),,,,,
,,,,,
REVENUE,Driver,Value,,,
Active client logos,count,3,,,
Avg projects per client per year,count,4,,,
Avg revenue per project,USD,8000,,,
Total project revenue,calc,96000,,,
Hourly side work (RFIs / change orders),hrs/year,200,,,
Avg hourly rate,USD/hr,75,,,
Hourly revenue,calc,15000,,,
TOTAL REVENUE,,111000,,,
,,,,,
COSTS,,,,,
Software (SDS/2 or Tekla 1 seat),USD/yr,3000,,,
RISA / Descon / Bluebeam / Mathcad,USD/yr,2500,,,
Hardware amortized (3 yr),USD/yr,1000,,,
E&O insurance ($1M),USD/yr,3000,,,
General liability + cyber,USD/yr,1500,,,
Sub-contracted P.E. stamping (per job),USD/yr,8000,,,
NISD certification + dues,USD/yr,500,,,
Website + marketing,USD/yr,3000,,,
Office (home office allocation),USD/yr,2000,,,
Bookkeeping + tax prep,USD/yr,2500,,,
Legal / misc,USD/yr,1500,,,
TOTAL COSTS,,28500,,,
,,,,,
NET INCOME (pre-tax),,82500,,,
NET MARGIN %,,74.3%,,,
,,,,,
,,,,,
SCENARIO B — SMALL FIRM with offshore (Year 1),,,,,
,,,,,
REVENUE,Driver,Value,,,
Active client logos,count,5,,,
Avg projects per client per year,count,5,,,
Avg revenue per project,USD,18000,,,
Total project revenue,calc,450000,,,
Connection design (separate fee),% of detailing,10%,,,
Connection design revenue,calc,45000,,,
Premium add-ons (BIM coord / sequencing),USD/yr,30000,,,
TOTAL REVENUE,,525000,,,
,,,,,
COSTS,,,,,
Founder salary / draw,USD/yr,80000,,,
US-based senior detailer (PT contractor),USD/yr,55000,,,
Offshore modeler #1 (fully loaded),USD/yr,18000,,,
Offshore modeler #2 (fully loaded),USD/yr,18000,,,
Offshore senior checker (started month 9),USD/yr,8000,,,
Sub-contracted Texas P.E. (per job + retainer),USD/yr,30000,,,
Software (3 detailing seats),USD/yr,9000,,,
Other software (Revit / RISA / Bluebeam),USD/yr,6000,,,
Hardware amortized (3 seats),USD/yr,3000,,,
Insurance (E&O $2M + GL + cyber),USD/yr,7000,,,
Office / co-working,USD/yr,9000,,,
Sales & marketing (events + ads + tools),USD/yr,18000,,,
Legal + accounting,USD/yr,8000,,,
NISD + AISC alignment / certifications,USD/yr,4000,,,
Travel (NASCC + client visits),USD/yr,8000,,,
Misc / contingency,USD/yr,12000,,,
TOTAL COSTS,,293000,,,
,,,,,
EBITDA,,232000,,,
EBITDA MARGIN %,,44.2%,,,
,,,,,
,,,,,
SCENARIO C — SMALL FIRM (Year 3 mature state),,,,,
,,,,,
REVENUE,Driver,Value,,,
Active client logos,count,12,,,
Avg projects per client per year,count,6,,,
Avg revenue per project,USD,22000,,,
Total project revenue,calc,1584000,,,
Connection design,% of detailing,12%,,,
Connection design revenue,calc,190080,,,
Premium add-ons,USD/yr,80000,,,
Training revenue (small),USD/yr,40000,,,
TOTAL REVENUE,,1894080,,,
,,,,,
COSTS,,,,,
Founder salary,USD/yr,140000,,,
US team (2 senior detailers + 1 BD),USD/yr,260000,,,
Offshore team (8 modelers + 2 checkers),USD/yr,200000,,,
P.E. engineer (fractional w/ Texas + 5 states),USD/yr,90000,,,
Software (10 seats + tools),USD/yr,40000,,,
Hardware amortized,USD/yr,12000,,,
Insurance,USD/yr,18000,,,
Office (US small + India production floor),USD/yr,60000,,,
Sales & marketing,USD/yr,90000,,,
Legal + accounting,USD/yr,18000,,,
Certifications + memberships,USD/yr,8000,,,
Travel + events,USD/yr,30000,,,
Misc / contingency,USD/yr,40000,,,
TOTAL COSTS,,1006000,,,
,,,,,
EBITDA,,888080,,,
EBITDA MARGIN %,,46.9%,,,
,,,,,
,,,,,
KEY ASSUMPTIONS,,,,,
Solo: ~1300 billable hrs/yr at blended ~$75/hr equivalent,,,,,
Small firm Year 1: avg project ~500 tons at ~$36/ton blended (low end - earning trust),,,,,
Year 3: avg project ~700 tons at $30-50/ton blended (offshore-leveraged delivery),,,,,
Offshore modeler all-in cost includes salary + software + workstation + admin overhead,,,,,
P.E. sub-contract assumed at $1500-2500 per stamped project,,,,,
Marketing assumes 1 NASCC trip + LinkedIn ads + 1 trade publication article per year,,,,,
,,,,,
SENSITIVITY — Year 1 Small Firm,,,,,
,Revenue,Costs,EBITDA,EBITDA %,
Bear (3 clients · 4 projects),216000,265000,-49000,-22.7%,
Base (5 clients · 5 projects),525000,293000,232000,44.2%,
Bull (7 clients · 6 projects),882000,335000,547000,62.0%,
,,,,,
NOTES,,,,,
This model is illustrative — adjust hourly rates / per-ton rates / load on offshore team for your specific market,,,,,
Year 1 cash flow may lag P&L by 60-90 days due to client payment terms,,,,,
Hold ~3 months of operating cash before scaling headcount,,,,,
Connection design revenue assumes you have a sub-contracted Texas P.E. from day one,,,,,
